model,cell_type,n,pearson_r,pearson_p,spearman_r,spearman_p,mae,r2,pearson_r_ci_low,pearson_r_ci_high,bootstrap_status,is_best_model,best_model
ElasticNet,Authorized,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,Authorized,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,B cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,B cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,CD1c-positive myeloid dendritic cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,CD1c-positive myeloid dendritic cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,"CD4-positive, alpha-beta T cell",130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,"CD4-positive, alpha-beta T cell",130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,"CD8-positive, alpha-beta T cell",130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,"CD8-positive, alpha-beta T cell",130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,SpeciesCode,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,SpeciesCode,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,T cell,130,0.022135076849674057,0.8026091473467856,0.0313713847386021,0.7230980100176624,0.005151602723325652,-0.3161539755797016,-0.08033006812157988,0.14497490238894412,ok,True,ElasticNet
RandomForest,T cell,130,-0.026089660081297754,0.768265041269684,0.04385627926179046,0.6202842431745553,0.004311699508261115,-0.24316071234562853,-0.0916918799527276,0.07052318357060156,ok,False,ElasticNet
ElasticNet,acinar cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,acinar cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,alveolar adventitial fibroblast,130,0.1204029975413035,0.17240518751465145,0.12498233596746877,0.15653654875994105,0.05621877744988593,-0.09857773097183964,-0.05165842227807115,0.3080538548602331,ok,True,ElasticNet
RandomForest,alveolar adventitial fibroblast,130,-0.034342547407667685,0.6980915660508098,-0.05336979907961135,0.5464672687949917,0.05737678694037786,-0.10626485642366323,-0.22539944022956312,0.14918223443580642,ok,False,ElasticNet
ElasticNet,alveolar macrophage,130,0.2337878622635905,0.007427318972770273,0.25472298478644595,0.003448539502872206,0.061061721581123045,-0.10413195005354203,0.07395992011495793,0.39115303333660045,ok,False,RandomForest
RandomForest,alveolar macrophage,130,0.3414973765090195,7.000160133113987e-05,0.2746937606006326,0.0015625226803918837,0.05619435988317871,0.11335431598492751,0.15824275710498267,0.492696857436387,ok,True,RandomForest
ElasticNet,alveolar type 1 fibroblast cell,130,0.21007692909652834,0.016442345252652046,0.25000887660054794,0.00412148398106903,0.06583738066425901,-0.10444283601668203,0.0443385802181321,0.3721369326434784,ok,False,RandomForest
RandomForest,alveolar type 1 fibroblast cell,130,0.2756486759193023,0.001502220919764121,0.2536960411723685,0.003586082808321792,0.061391125244035644,0.05689464113621989,0.09985927971058078,0.424205265564215,ok,True,RandomForest
ElasticNet,bronchial goblet cell,130,0.18329529959451846,0.036849942777588525,0.22156287823436152,0.01129698620753206,0.018953007950973298,-0.04810155517176029,-0.004337959111742863,0.4100726053389987,ok,False,RandomForest
RandomForest,bronchial goblet cell,130,0.2654952986999797,0.002266728490515693,0.28830522922794916,0.0008798839460580327,0.016380108327509024,0.06172774358540645,0.060045788230303626,0.5057647022661237,ok,True,RandomForest
ElasticNet,bronchus fibroblast of lung,130,0.014239059002743193,0.8722584965488037,0.14131461121092617,0.10877320237076052,0.003192252769928039,-0.23736067502205582,-0.042660751634364655,0.12873971609080428,ok,True,ElasticNet
RandomForest,bronchus fibroblast of lung,130,-0.10604612652014155,0.22981972613814744,-0.0642322108384035,0.46781619630938753,0.002894631517082602,-0.21060516337610014,-0.17759964790096977,0.016447976391827122,ok,False,ElasticNet
ElasticNet,brush cell of tracheobronchial tree,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,brush cell of tracheobronchial tree,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,capillary endothelial cell,130,0.3093164634989246,0.0003423877828150437,0.3170483981553059,0.00023758900089951526,0.03297125445172809,0.04122571049481538,0.1541570407840641,0.4678384537375407,ok,False,RandomForest
RandomForest,capillary endothelial cell,130,0.33890829780728443,8.006412234525007e-05,0.3937295731954689,3.578755465615203e-06,0.031090024220894654,0.0769660015063457,0.18217763929141334,0.5072655961358081,ok,True,RandomForest
ElasticNet,classical monocyte,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,classical monocyte,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,club cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,club cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,conventional dendritic cell,130,-0.022004580088148665,0.8037493093659519,-0.02120066341839881,0.8107822192100224,0.0015994686359532008,-0.10811481793230149,-0.05352950189569022,-0.007771508163057055,ok,False,RandomForest
RandomForest,conventional dendritic cell,130,-0.02107463118507512,0.81188617324502,-0.03844752612448611,0.6640734848371687,0.001063813409610751,-0.2534114800068754,-0.04530580193524655,-0.014988981647125124,ok,True,RandomForest
ElasticNet,dendritic cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,dendritic cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,elicited macrophage,130,-0.017390951195558255,0.8443071907900412,-0.002355629268710979,0.9787796198481029,0.00019025434424217648,-0.321971957889412,-0.04632136702423335,-0.004573248424577946,ok,True,ElasticNet
RandomForest,elicited macrophage,130,-0.03472021996033324,0.6949353455970781,-0.05451660264882631,0.5378681834608552,0.00010194681991453995,-0.14258975691453735,-0.07397689673138182,-0.02894833548784676,ok,False,ElasticNet
ElasticNet,endothelial cell of lymphatic vessel,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,endothelial cell of lymphatic vessel,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,epithelial cell of lower respiratory tract,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,epithelial cell of lower respiratory tract,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,fibroblast,130,0.12250461290387621,0.16498087506820946,0.08700743009706216,0.3249561137389695,0.01118480316721647,-0.18816701505666988,-0.03427333619438947,0.30538070894123753,ok,False,RandomForest
RandomForest,fibroblast,130,0.1570537481312607,0.07434493010672691,0.20148058510653558,0.021523631022107113,0.008196028277293288,-0.06688552367555256,-0.02137626803465264,0.43245651142345953,ok,True,RandomForest
ElasticNet,hematopoietic stem cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,hematopoietic stem cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,imaging_dir_exists,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,imaging_dir_exists,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,ionocyte,130,-0.01626332371648326,0.8542867502168923,0.18073047501276648,0.03961708376743704,0.010267839850085838,-0.20535419323458592,-0.11137728209118276,0.10601032594479327,ok,True,ElasticNet
RandomForest,ionocyte,130,-0.1287628631056571,0.14428229865994388,-0.06136582867353846,0.4879490687236622,0.010279519060545481,-0.2994289797005427,-0.24187258853102425,0.001218949607402099,ok,False,ElasticNet
ElasticNet,lung macrophage,130,-0.1760390439601445,0.04512978628111371,-0.11132623532851268,0.20731648940097633,0.04623464199248104,-0.44564545486978746,-0.29190723986004513,-0.047713959829844534,ok,False,RandomForest
RandomForest,lung macrophage,130,-0.08709044461904457,0.32449294809812335,-0.08189612301233498,0.35429102461500744,0.04307171778062524,-0.13132141235275285,-0.24039879645018847,0.07226064065964531,ok,True,RandomForest
ElasticNet,lung pericyte,130,0.0147537238697917,0.8676826604469186,-0.008371000559887477,0.9246929782237414,0.03332232000274913,-0.2954783759888491,-0.14597420105835512,0.19320192947147335,ok,False,RandomForest
RandomForest,lung pericyte,130,0.07921192861527716,0.3703378019802925,0.058225566373977515,0.5105250461118789,0.030690535049023766,-0.07429035689654762,-0.0951637625323516,0.26761842520497336,ok,True,RandomForest
ElasticNet,mast cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,mast cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,mesothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,mesothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,mucus secreting cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,mucus secreting cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,multiciliated columnar cell of tracheobronchial tree,130,0.0190915582222513,0.8293038176219866,0.0541148392417427,0.540873073822047,0.010624685493172302,-0.18307726820468329,-0.09622425174041827,0.12594840814925723,ok,True,ElasticNet
RandomForest,multiciliated columnar cell of tracheobronchial tree,130,-0.014490947123289138,0.8700184458630645,-0.023869409830823324,0.7874964317940338,0.008912592565673389,-0.23411047845680155,-0.09456766423774253,0.16827058276892312,ok,False,ElasticNet
ElasticNet,multiciliated epithelial cell,130,0.09342580172577944,0.2904001047986575,0.163269021545915,0.06344662024608869,0.04351808132582142,-0.3225641439396776,-0.13580148388863478,0.3183039675587955,ok,False,RandomForest
RandomForest,multiciliated epithelial cell,130,0.23716860397921957,0.00658968538854145,0.19811280321448377,0.023854709209804464,0.03933522811787704,0.02053382491558131,0.05410655801002574,0.40011710491630836,ok,True,RandomForest
ElasticNet,myofibroblast cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,myofibroblast cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,nasal mucosa goblet cell,130,-0.028308718495997195,0.7491837993014926,-0.10369336242233604,0.24038087240509895,0.006632900451127067,-0.26168148417836457,-0.1799123166920959,0.10912120850119818,ok,False,RandomForest
RandomForest,nasal mucosa goblet cell,130,0.09523982695845908,0.2810937748536811,0.09201161526043741,0.2977957302972223,0.005645290830451196,-0.12312689610692473,-0.04832378343385301,0.24767745998464064,ok,True,RandomForest
ElasticNet,natural killer cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,natural killer cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,non-classical monocyte,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,non-classical monocyte,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,plasma cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,plasma cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,plasmacytoid dendritic cell,130,-0.003513786391902403,0.9683510295225296,0.0,1.0,0.00027129411909551285,-0.17788034265576913,-0.021701454173904438,0.019637247171972766,ok,True,ElasticNet
RandomForest,plasmacytoid dendritic cell,130,-0.024228186971949964,0.784379746816339,-0.04866767294571257,0.5824129708614165,0.00017507528908920953,-0.17983061691773972,-0.05942220621857507,-0.01985020805418068,ok,False,ElasticNet
ElasticNet,pulmonary alveolar epithelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,pulmonary alveolar epithelial cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,pulmonary alveolar type 1 cell,130,0.16030529297880974,0.06846864429252612,0.1804692194410914,0.03990848070469325,0.0619241653415197,-0.19596225652469434,-0.013770123838998895,0.3240260222547315,ok,False,RandomForest
RandomForest,pulmonary alveolar type 1 cell,130,0.22188288066483747,0.011176596164053258,0.22006609495688273,0.011875333569085784,0.056993239881057645,0.02722170393565737,0.07720501339931325,0.38097950458400237,ok,True,RandomForest
ElasticNet,pulmonary alveolar type 2 cell,130,0.423820846814485,5.046703566864998e-07,0.3891247255349198,4.750510992675849e-06,0.055052402887539736,0.14989634061678647,0.2826767546453882,0.5537880386627694,ok,True,ElasticNet
RandomForest,pulmonary alveolar type 2 cell,130,0.34552937243297055,5.665569631649145e-05,0.3629505931997664,2.1961715942679285e-05,0.055510747879147226,0.10767569544123201,0.19355478723954833,0.49630115803650543,ok,False,ElasticNet
ElasticNet,pulmonary artery endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,pulmonary artery endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,pulmonary neuroendocrine cell,130,-0.16010225832475974,0.06882418007922253,-0.08093208391883296,0.36000363563903764,0.01869348666856097,-0.24363814113990578,-0.27990129539333714,-0.011647498853328041,ok,False,RandomForest
RandomForest,pulmonary neuroendocrine cell,130,-0.016048669714382992,0.856189112520165,-0.006239679529223583,0.9438300368812342,0.018188134991844417,-0.2467362903386805,-0.11495157276232594,0.11468818624294055,ok,True,RandomForest
ElasticNet,respiratory basal cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,respiratory basal cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,respiratory tract hillock cell,130,0.10724499252711943,0.2245655250268439,0.2214574569480401,0.011336895794730054,0.11417004137458638,-0.2574563853955072,-0.05236697186659146,0.2966508718871081,ok,True,ElasticNet
RandomForest,respiratory tract hillock cell,130,0.07787093558868224,0.3785190408290754,0.1278446750958149,0.1471895098898846,0.11839897746605792,-0.14310183237988716,-0.08704077024806318,0.25145439537044095,ok,False,ElasticNet
ElasticNet,serous secreting cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,serous secreting cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,smooth muscle cell,130,0.08120364852156083,0.35838867119787937,0.1475692326666989,0.0938393309099142,0.021533419062961256,-0.2108359236341668,-0.06544827496973972,0.23033522112319982,ok,False,RandomForest
RandomForest,smooth muscle cell,130,0.12007356505047814,0.17359100559542953,0.14385402954103524,0.10250021231465625,0.020890582241779324,-0.10991777188641194,-0.019667971056773384,0.282879285951459,ok,True,RandomForest
ElasticNet,stromal cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,stromal cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,tracheobronchial goblet cell,130,0.2701816950948713,0.0018783451234708445,0.27785106596731746,0.0013711380844493373,0.030266766868803436,-0.00950808898910882,0.11078047584067025,0.41857829279071646,ok,True,ElasticNet
RandomForest,tracheobronchial goblet cell,130,0.22659513616280252,0.009529747206020619,0.2204405479675631,0.011728265479620355,0.029870925972020426,0.030245895519842247,0.06610958317574092,0.3910094488246474,ok,False,ElasticNet
ElasticNet,tracheobronchial serous cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,tracheobronchial serous cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,tracheobronchial smooth muscle cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,tracheobronchial smooth muscle cell,130,,,,,0.0,1.0,,,all_nan,False,
ElasticNet,vein endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
RandomForest,vein endothelial cell,130,,,,,0.0,1.0,,,all_nan,False,
